Variables,Missing_percentage
Body mass index,4.1891891891891895
Absenteeism time in hours,2.9729729729729732
Height,1.891891891891892
Work load Average/day ,1.3513513513513513
Education,1.3513513513513513
Transportation expense,0.945945945945946
Son,0.8108108108108109
Disciplinary failure,0.8108108108108109
Hit target,0.8108108108108109
Social smoker,0.5405405405405406
Month of absence,0.5405405405405406
Age,0.40540540540540543
Reason for absence,0.40540540540540543
Service time,0.40540540540540543
Distance from Residence to Work,0.40540540540540543
Social drinker,0.40540540540540543
Pet,0.2702702702702703
Weight,0.13513513513513514
Seasons,0.0
Day of the week,0.0
ID,0.0
